country_name,country_code,year,exports_usd
Russian Federation,RUS,2016,281710000000.0
Rwanda,RWA,2016,731000000.0
Samoa,WSM,2016,56000000.0
San Marino,SMR,2016,
Sao Tome and Principe,STP,2016,14000000.0
Saudi Arabia,SAU,2016,183579000000.0
Senegal,SEN,2016,2640000000.0
Serbia,SRB,2016,14874000000.0
Seychelles,SYC,2016,460000000.0
Sierra Leone,SLE,2016,624000000.0
Singapore,SGP,2016,330481000000.0
Sint Maarten (Dutch part),SXM,2016,132000000.0
Slovak Republic,SVK,2016,77060000000.0
Slovenia,SVN,2016,32917000000.0
Solomon Islands,SLB,2016,437000000.0
"Somalia, Fed. Rep.",SOM,2016,615000000.0
South Africa,ZAF,2016,76214000000.0
South Sudan,SSD,2016,
Spain,ESP,2016,289981000000.0
Sri Lanka,LKA,2016,10310000000.0
St. Kitts and Nevis,KNA,2016,51000000.0
St. Lucia,LCA,2016,120000000.0
St. Martin (French part),MAF,2016,132000000.0
St. Vincent and the Grenadines,VCT,2016,47000000.0
Sudan,SDN,2016,3094000000.0
Suriname,SUR,2016,1439000000.0
Sweden,SWE,2016,139290000000.0
Switzerland,CHE,2016,302900000000.0
Syrian Arab Republic,SYR,2016,2377000000.0
Tajikistan,TJK,2016,899000000.0
Tanzania,TZA,2016,4500000000.0
Thailand,THA,2016,215388000000.0
Timor-Leste,TLS,2016,20000000.0
Togo,TGO,2016,1036000000.0
Tonga,TON,2016,21000000.0
Trinidad and Tobago,TTO,2016,7633000000.0
Tunisia,TUN,2016,13572000000.0
Turkiye,TUR,2016,149247000000.0
Turkmenistan,TKM,2016,6964000000.0
Turks and Caicos Islands,TCA,2016,4000000.0
Tuvalu,TUV,2016,0.0
Uganda,UGA,2016,2482000000.0
Ukraine,UKR,2016,36360000000.0
United Arab Emirates,ARE,2016,295031000000.0
United Kingdom,GBR,2016,410856000000.0
United States,USA,2016,1451011000000.0
Uruguay,URY,2016,7043000000.0
Uzbekistan,UZB,2016,8974000000.0
Vanuatu,VUT,2016,50000000.0
"Venezuela, RB",VEN,2016,26696000000.0
Viet Nam,VNM,2016,176581000000.0
Virgin Islands (U.S.),VIR,2016,
West Bank and Gaza,PSE,2016,
"Yemen, Rep.",YEM,2016,411000000.0
Zambia,ZMB,2016,6372000000.0
Zimbabwe,ZWE,2016,3335000000.0
Africa Eastern and Southern,AFE,2016,166906940483.164
Africa Western and Central,AFW,2016,99561000000.0
Arab World,ARB,2016,802116283576.181
Caribbean small states,CSS,2016,12203000000.0
Central Europe and the Baltics,CEB,2016,732799000000.0
Early-demographic dividend,EAR,2016,1841097580292.76
East Asia & Pacific,EAS,2016,5426277204255.37
East Asia & Pacific (excluding high income),EAP,2016,2924014199873.47
East Asia & Pacific (IDA & IBRD countries),TEA,2016,2921033199936.27
Euro area,EMU,2016,4176589000000.0
Europe & Central Asia,ECS,2016,6376310476392.5
Europe & Central Asia (excluding high income),ECA,2016,310894496537.867
Europe & Central Asia (IDA & IBRD countries),TEC,2016,900335911734.531
European Union,EUU,2016,4969739000000.0
Fragile and conflict affected situations,FCS,2016,232256673840.484
Heavily indebted poor countries (HIPC),HPC,2016,110397000000.0
High income,HIC,2016,11267624952927.7
IBRD only,IBD,2016,5271334000000.0
IDA & IBRD total,IBT,2016,5543320251041.59
IDA blend,IDB,2016,106688000000.0
IDA only,IDX,2016,165619503677.15
IDA total,IDA,2016,272004948255.59
Late-demographic dividend,LTE,2016,4412717120395.32
Latin America & Caribbean,LCN,2016,952131794498.623
Latin America & Caribbean (excluding high income),LAC,2016,757082000000.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,880481000000.0
Least developed countries: UN classification,LDC,2016,151174915786.674
Low & middle income,LMY,2016,4832130865488.99
Low income,LIC,2016,41000866575.5635
Lower middle income,LMC,2016,837406443588.448
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016,954402981241.767
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2016,265745179177.725
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2016,263778000000.0
