country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Colombia,COL,2016,31757000000.0,3452348.0,194.12,True,True,True
Comoros,COM,2016,31000000.0,73309.69,19.7675,True,True,True
"Congo, Dem. Rep.",COD,2016,7193000000.0,59133.0,24.6725,True,True,True
"Congo, Rep.",COG,2016,7901000000.0,562889.0,72.4425,True,True,True
Costa Rica,CRI,2016,10361000000.0,1338979.0,90.405,True,True,True
Cote d'Ivoire,CIV,2016,10876000000.0,885750.0,81.4325,True,True,True
Croatia,HRV,2016,13813000000.0,246596.0,60.595,True,True,True
Cuba,CUB,2016,2317000000.0,325319.0,37.4175,True,True,True
Curacao,CUW,2016,419000000.0,98278.0,36.4175,True,True,True
Cyprus,CYP,2016,2965000000.0,360841.0,54.302499999999995,True,True,True
Czechia,CZE,2016,162692000000.0,,,True,False,False
Denmark,DNK,2016,95326000000.0,715076.0,98.46,True,True,True
